X1,Y1,X2,Y2
2.449383239821892e6,89735.99607187486,1.42709755061676e12,1.572340862640038e11
2.4754304328432265e6,91170.34875371084,1.427097524569567e12,1.5807043682965112e11
2.5016141287702364e6,92619.82100413946,1.4270974983858708e12,1.5890678738017886e11
2.5279343012872203e6,94084.48989100363,1.4270974720656982e12,1.5974313791550998e11
2.5543909239481282e6,95564.43243671664,1.4270974456090754e12,1.605794884355674e11
2.5809839701766917e6,97059.72561804771,1.4270974190160293e12,1.6141583894027423e11
2.607713413266557e6,98570.44636590792,1.4270973922865862e12,1.622521894295535e11
2.6345792263814136e6,100096.67156513651,1.427097365420773e12,1.630885399033283e11
2.6615813825551313e6,101638.47805428754,1.4270973384186167e12,1.6392489036152182e11
2.6887198546918887e6,103195.94262541698,1.4270973112801445e12,1.6476124080405725e11
2.715994615566309e6,104769.14202387012,1.4270972840053838e12,1.6559759123085788e11
2.7434056378235943e6,106358.15294806937,1.4270972565943616e12,1.6643394164184695e11
2.77095289397966e6,107963.05204930248,1.4270972290471055e12,1.6727029203694785e11
2.798636356421268e6,109583.91593151109,1.427097201363643e12,1.6810664241608395e11
2.8264559974061674e6,111220.8211510797,1.427097173544002e12,1.6894299277917874e11
2.8544117890632255e6,112873.84421662503,1.4270971455882102e12,1.6977934312615567e11
2.8825037033925685e6,114543.06158878577,1.427097117496296e12,1.706156934569383e11
2.9107317122657173e6,116228.54968001266,1.4270970892682869e12,1.7145204377145023e11
2.939095787425727e6,117930.38485435901,1.4270970609042117e12,1.7228839406961505e11
2.967595900487324e6,119648.64342727169,1.4270970324040986e12,1.7312474435135648e11
2.9962320229370464e6,121383.40166538228,1.4270970037679763e12,1.7396109461659824e11
3.0250041261333837e6,123134.7357862989,1.427096974995873e12,1.7479744486526413e11
3.053912181306917e6,124902.72195839825,1.4270969460878179e12,1.7563379509727795e11
3.08295615956046e6,126687.43630061812,1.4270969170438398e12,1.7647014531256363e11
3.112136031869201e6,128488.95488225023,1.4270968878639675e12,1.7730649551104504e11
3.141451769080843e6,130307.35372273358,1.4270968585482305e12,1.781428456926462e11
3.170903341915749e6,132142.7087914481,1.4270968290966577e12,1.7897919585729114e11
3.2004907209670846e6,133995.09600750878,1.4270967995092788e12,1.798155460049039e11
3.23021387670096e6,135864.59123956016,1.427096769786123e12,1.8065189613540866e11
3.260072779456576e6,137751.2703055712,1.4270967399272202e12,1.8148824624872958e11
3.2900673994463678e6,139655.2089726307,1.4270967099326e12,1.8232459634479092e11
